time,magnitude,latitude,longitude,depth_km
2000-08-28T08:19:56.360Z,5.0,37.814,142.104,33.0
2000-08-29T02:00:35.370Z,5.2,34.296,139.113,10.0
2000-09-03T11:01:31.080Z,5.5,43.024,146.773,52.7
2000-09-10T22:49:45.310Z,5.3,34.43,139.181,10.0
2000-09-13T17:23:37.960Z,5.2,40.289,143.202,33.0
2000-09-16T23:04:12.980Z,5.3,24.031,122.468,33.0
2000-10-02T05:21:40.460Z,5.0,29.422,129.523,33.0
2000-10-02T07:29:42.740Z,5.8,29.443,129.388,33.0
2000-10-02T07:44:10.540Z,5.7,29.52,129.396,33.0
2000-10-02T08:04:07.460Z,5.0,29.369,129.595,33.0
2000-10-03T04:13:30.490Z,6.3,40.282,143.124,33.0
2000-10-06T04:30:19.150Z,6.7,35.456,133.134,10.0
2000-10-06T20:55:19.190Z,5.2,25.21,128.714,33.0
2000-10-08T04:17:55.120Z,5.4,35.145,133.039,10.0
2000-10-08T11:51:17.820Z,5.2,35.363,133.311,10.0
2000-10-18T03:04:07.550Z,5.0,30.878,131.51,33.0
2000-10-21T08:42:56.310Z,5.1,29.564,127.991,33.0
2000-10-23T01:25:28.570Z,5.2,43.288,146.989,38.0
2000-10-25T03:09:04.140Z,5.0,25.606,128.352,40.8
2000-10-26T12:23:54.430Z,5.0,44.767,149.265,49.0
2000-10-27T04:21:51.600Z,6.1,26.266,140.46,388.0
2000-10-30T16:42:51.710Z,5.5,34.3,136.214,34.9
2000-10-30T19:20:36.130Z,5.0,34.343,139.187,10.0
2000-11-05T01:53:26.900Z,5.2,36.275,142.256,33.0
2000-11-09T09:44:52.480Z,5.3,44.047,138.925,15.0
2000-11-13T15:57:21.610Z,6.0,42.489,144.765,33.0
2000-11-14T03:52:59.150Z,5.6,42.521,144.785,33.0
2000-11-16T09:31:43.170Z,5.3,37.556,141.402,49.1
2000-12-04T16:47:37.550Z,5.7,35.748,140.948,59.8
2000-12-07T18:47:55.200Z,5.2,29.382,131.419,33.0
2000-12-12T20:32:56.690Z,5.4,24.15,122.485,48.0
2000-12-13T14:27:29.240Z,5.1,28.768,130.068,37.2
2000-12-19T10:51:05.760Z,5.0,29.375,131.471,33.0
2000-12-22T10:13:01.110Z,6.2,44.79,147.196,140.4
2000-12-30T19:42:52.710Z,5.1,24.317,122.974,55.6
2001-01-03T14:47:49.540Z,5.9,43.932,147.813,33.0
2001-01-04T04:18:21.430Z,5.3,36.981,138.629,21.4
2001-01-11T23:00:07.170Z,5.3,35.477,134.403,33.0
2001-01-23T16:11:35.290Z,5.4,29.94,142.022,55.3
2001-01-23T16:24:03.200Z,5.6,29.992,142.036,54.6
2001-02-08T05:41:39.990Z,5.8,24.269,125.112,15.7
2001-02-08T10:01:29.190Z,5.1,24.263,125.191,33.0
2001-02-14T18:10:01.220Z,5.2,29.178,139.465,384.2
2001-02-16T23:13:09.090Z,5.2,24.582,122.449,109.4
2001-02-24T21:53:54.190Z,5.9,37.217,142.146,33.0
2001-02-26T06:08:32.660Z,5.3,37.201,142.131,33.0
2001-02-26T23:29:12.530Z,5.0,24.266,125.208,33.0
2001-03-05T11:08:34.960Z,5.5,28.564,129.002,79.8
2001-03-23T11:30:10.520Z,6.0,44.071,148.054,33.0
2001-03-24T06:27:53.580Z,6.8,34.083,132.526,50.0
2001-03-24T21:24:32.810Z,5.2,38.383,143.255,33.0
2001-03-25T20:40:51.440Z,5.2,34.017,132.542,42.9
2001-03-30T21:09:43.570Z,5.0,36.771,139.309,10.0
2001-04-02T19:54:18.400Z,5.5,40.589,141.772,63.8
2001-04-03T14:57:10.810Z,5.4,34.898,138.021,33.0
2001-04-12T07:01:50.010Z,5.4,37.493,141.487,45.2
2001-04-13T23:16:17.670Z,5.6,42.729,145.305,33.0
2001-04-14T23:27:26.660Z,6.0,30.092,141.768,10.0
2001-04-17T04:53:37.220Z,5.1,45.666,149.816,91.8
2001-04-23T13:55:27.810Z,5.4,33.016,136.609,417.3
